description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
"Elegant Mermaid Velvet Bridesmaid Dress with Boat Neck, Sleeveless, Maxi design, Corset detailing in Black.",Mermaid,Velvet,Boat Neck,Sleeveless,Maxi,Corset,Black,Bridesmaid Dress
"Royal Navy Crepe Empire dress featuring Boat Neck, Strapless, and Ruched finish. Perfect as a Prom Gown.",Empire,Crepe,Boat Neck,Strapless,Knee Length,Ruched,Royal Navy,Prom Gown
"Stylish Empire dress crafted from Velvet featuring Sweetheart, Three Quarter Sleeves, Pleated accents and Navy Blue color for a Formal Dress.",Empire,Velvet,Sweetheart,Three Quarter Sleeves,Mini,Pleated,Navy Blue,Formal Dress
"Pink Tulle A-line dress featuring Sweetheart, Sleeveless, and Ruched finish. Perfect as a Wedding Dress.",A-line,Tulle,Sweetheart,Sleeveless,Midi,Ruched,Pink,Wedding Dress
"Floor Length Lace Cocktail Dress with Square Neckline, Puff Sleeves, Corset bodice and Dusty Blue shade in a Ball Gown silhouette.",Ball Gown,Lace,Square Neckline,Puff Sleeves,Floor Length,Corset,Dusty Blue,Cocktail Dress
"White Velvet Sheath dress featuring Square Neckline, Strapless, and Layered finish. Perfect as a Cocktail Dress.",Sheath,Velvet,Square Neckline,Strapless,Mini,Layered,White,Cocktail Dress
"Elegant Fit and Flare Jersey Bridesmaid Dress with Square Neckline, Sleeveless, Maxi design, Pleated detailing in Navy Blue.",Fit and Flare,Jersey,Square Neckline,Sleeveless,Maxi,Pleated,Navy Blue,Bridesmaid Dress
"White Tulle Sheath dress featuring Boat Neck, Puff Sleeves, and Ruched finish. Perfect as a Prom Gown.",Sheath,Tulle,Boat Neck,Puff Sleeves,Maxi,Ruched,White,Prom Gown
"Stylish Sheath dress crafted from Chiffon featuring Square Neckline, Puff Sleeves, Embroidered accents and Burgundy color for a Formal Dress.",Sheath,Chiffon,Square Neckline,Puff Sleeves,Knee Length,Embroidered,Burgundy,Formal Dress
"Stylish Fit and Flare dress crafted from Velvet featuring Halter, Sleeveless, Pleated accents and Black color for a Evening Gown.",Fit and Flare,Velvet,Halter,Sleeveless,Knee Length,Pleated,Black,Evening Gown
"Premium Satin Evening Gown with Off Shoulder, Puff Sleeves, Knee Length cut, Feathers details and elegant Sage finish in A-line style.",A-line,Satin,Off Shoulder,Puff Sleeves,Knee Length,Feathers,Sage,Evening Gown
"Mini Lace Wedding Dress with Halter, Three Quarter Sleeves, Layered bodice and Silver shade in a Sheath silhouette.",Sheath,Lace,Halter,Three Quarter Sleeves,Mini,Layered,Silver,Wedding Dress
"Elegant A-line Tulle Evening Gown with Off Shoulder, Cap Sleeves, Maxi design, Sequins detailing in Dusty Blue.",A-line,Tulle,Off Shoulder,Cap Sleeves,Maxi,Sequins,Dusty Blue,Evening Gown
"Stylish Fit and Flare dress crafted from Tulle featuring Square Neckline, Sleeveless, Corset accents and Royal Navy color for a Casual Dress.",Fit and Flare,Tulle,Square Neckline,Sleeveless,Maxi,Corset,Royal Navy,Casual Dress
"Premium Cotton Formal Dress with V Neckline, Sleeveless, Midi cut, Sequins details and elegant Red finish in A-line style.",A-line,Cotton,V Neckline,Sleeveless,Midi,Sequins,Red,Formal Dress
"Emerald Satin Ball Gown dress featuring Off Shoulder, Puff Sleeves, and Sequins finish. Perfect as a Formal Dress.",Ball Gown,Satin,Off Shoulder,Puff Sleeves,Knee Length,Sequins,Emerald,Formal Dress
"Gold Chiffon Empire dress featuring Boat Neck, Strapless, and Beaded finish. Perfect as a Evening Gown.",Empire,Chiffon,Boat Neck,Strapless,Knee Length,Beaded,Gold,Evening Gown
"Elegant A-line Chiffon Evening Gown with Sweetheart, Sleeveless, Midi design, Sequins detailing in Silver.",A-line,Chiffon,Sweetheart,Sleeveless,Midi,Sequins,Silver,Evening Gown
"Elegant Ball Gown Velvet Prom Gown with V Neckline, Short Sleeves, Maxi design, None detailing in White.",Ball Gown,Velvet,V Neckline,Short Sleeves,Maxi,None,White,Prom Gown
"Sage Crepe Sheath dress featuring Square Neckline, Puff Sleeves, and Embroidered finish. Perfect as a Bridesmaid Dress.",Sheath,Crepe,Square Neckline,Puff Sleeves,Floor Length,Embroidered,Sage,Bridesmaid Dress
"Stylish Empire dress crafted from Chiffon featuring Boat Neck, Cap Sleeves, Pleated accents and Sage color for a Formal Dress.",Empire,Chiffon,Boat Neck,Cap Sleeves,Mini,Pleated,Sage,Formal Dress
"Premium Satin Evening Gown with One Shoulder, Three Quarter Sleeves, Maxi cut, Embroidered details and elegant White finish in Sheath style.",Sheath,Satin,One Shoulder,Three Quarter Sleeves,Maxi,Embroidered,White,Evening Gown
"Stylish Ball Gown dress crafted from Satin featuring Sweetheart, Long Sleeves, None accents and Pink color for a Evening Gown.",Ball Gown,Satin,Sweetheart,Long Sleeves,Floor Length,None,Pink,Evening Gown
"Elegant Empire Velvet Formal Dress with One Shoulder, Puff Sleeves, Floor Length design, Feathers detailing in White.",Empire,Velvet,One Shoulder,Puff Sleeves,Floor Length,Feathers,White,Formal Dress
"Stylish Fit and Flare dress crafted from Cotton featuring Halter, Cap Sleeves, Feathers accents and Emerald color for a Formal Dress.",Fit and Flare,Cotton,Halter,Cap Sleeves,Knee Length,Feathers,Emerald,Formal Dress
"Maxi Jersey Evening Gown with Round Neckline, Long Sleeves, Ruched bodice and Burgundy shade in a Sheath silhouette.",Sheath,Jersey,Round Neckline,Long Sleeves,Maxi,Ruched,Burgundy,Evening Gown
"Mini Crepe Casual Dress with Round Neckline, Sleeveless, Embroidered bodice and Blush shade in a Ball Gown silhouette.",Ball Gown,Crepe,Round Neckline,Sleeveless,Mini,Embroidered,Blush,Casual Dress
"Stylish Ball Gown dress crafted from Chiffon featuring Square Neckline, Three Quarter Sleeves, Feathers accents and Emerald color for a Formal Dress.",Ball Gown,Chiffon,Square Neckline,Three Quarter Sleeves,Mini,Feathers,Emerald,Formal Dress
"Premium Chiffon Bridesmaid Dress with Boat Neck, Puff Sleeves, Midi cut, Ruched details and elegant White finish in Fit and Flare style.",Fit and Flare,Chiffon,Boat Neck,Puff Sleeves,Midi,Ruched,White,Bridesmaid Dress
"Mini Lace Bridesmaid Dress with One Shoulder, Short Sleeves, Ruched bodice and Dusty Blue shade in a Ball Gown silhouette.",Ball Gown,Lace,One Shoulder,Short Sleeves,Mini,Ruched,Dusty Blue,Bridesmaid Dress
"Premium Velvet Formal Dress with Off Shoulder, Strapless, Maxi cut, None details and elegant Green finish in A-line style.",A-line,Velvet,Off Shoulder,Strapless,Maxi,None,Green,Formal Dress
"Knee Length Chiffon Formal Dress with Boat Neck, Sleeveless, Corset bodice and Pink shade in a Empire silhouette.",Empire,Chiffon,Boat Neck,Sleeveless,Knee Length,Corset,Pink,Formal Dress
"Elegant Mermaid Tulle Cocktail Dress with V Neckline, Short Sleeves, Knee Length design, Feathers detailing in White.",Mermaid,Tulle,V Neckline,Short Sleeves,Knee Length,Feathers,White,Cocktail Dress
"Maxi Cotton Evening Gown with Halter, Cap Sleeves, Ruched bodice and Red shade in a A-line silhouette.",A-line,Cotton,Halter,Cap Sleeves,Maxi,Ruched,Red,Evening Gown
"Elegant Fit and Flare Tulle Bridesmaid Dress with Round Neckline, Sleeveless, Knee Length design, Beaded detailing in Green.",Fit and Flare,Tulle,Round Neckline,Sleeveless,Knee Length,Beaded,Green,Bridesmaid Dress
"Stylish Fit and Flare dress crafted from Satin featuring Boat Neck, Cap Sleeves, Layered accents and Silver color for a Wedding Dress.",Fit and Flare,Satin,Boat Neck,Cap Sleeves,Maxi,Layered,Silver,Wedding Dress
"Premium Cotton Prom Gown with Round Neckline, Long Sleeves, Maxi cut, Embroidered details and elegant Navy Blue finish in Mermaid style.",Mermaid,Cotton,Round Neckline,Long Sleeves,Maxi,Embroidered,Navy Blue,Prom Gown
"Maxi Velvet Cocktail Dress with V Neckline, Short Sleeves, Pleated bodice and Black shade in a Sheath silhouette.",Sheath,Velvet,V Neckline,Short Sleeves,Maxi,Pleated,Black,Cocktail Dress
"Stylish Ball Gown dress crafted from Lace featuring Boat Neck, Long Sleeves, Embroidered accents and Black color for a Wedding Dress.",Ball Gown,Lace,Boat Neck,Long Sleeves,Midi,Embroidered,Black,Wedding Dress
"Knee Length Lace Formal Dress with Halter, Puff Sleeves, None bodice and Gold shade in a Ball Gown silhouette.",Ball Gown,Lace,Halter,Puff Sleeves,Knee Length,None,Gold,Formal Dress
"Mini Jersey Formal Dress with V Neckline, Cap Sleeves, Layered bodice and White shade in a A-line silhouette.",A-line,Jersey,V Neckline,Cap Sleeves,Mini,Layered,White,Formal Dress
"Elegant Empire Jersey Wedding Dress with Halter, Three Quarter Sleeves, Maxi design, Corset detailing in White.",Empire,Jersey,Halter,Three Quarter Sleeves,Maxi,Corset,White,Wedding Dress
"Elegant Mermaid Lace Formal Dress with One Shoulder, Strapless, Midi design, Embroidered detailing in Blush.",Mermaid,Lace,One Shoulder,Strapless,Midi,Embroidered,Blush,Formal Dress
"Mini Jersey Evening Gown with Halter, Puff Sleeves, Feathers bodice and Dusty Blue shade in a Ball Gown silhouette.",Ball Gown,Jersey,Halter,Puff Sleeves,Mini,Feathers,Dusty Blue,Evening Gown
"Gold Tulle Ball Gown dress featuring Sweetheart, Sleeveless, and Embroidered finish. Perfect as a Bridesmaid Dress.",Ball Gown,Tulle,Sweetheart,Sleeveless,Floor Length,Embroidered,Gold,Bridesmaid Dress
"Navy Blue Tulle Mermaid dress featuring Sweetheart, Short Sleeves, and Beaded finish. Perfect as a Cocktail Dress.",Mermaid,Tulle,Sweetheart,Short Sleeves,Mini,Beaded,Navy Blue,Cocktail Dress
"Premium Lace Bridesmaid Dress with Round Neckline, Short Sleeves, Maxi cut, Layered details and elegant Green finish in Empire style.",Empire,Lace,Round Neckline,Short Sleeves,Maxi,Layered,Green,Bridesmaid Dress
"Maxi Tulle Wedding Dress with Square Neckline, Short Sleeves, Embroidered bodice and Sage shade in a Sheath silhouette.",Sheath,Tulle,Square Neckline,Short Sleeves,Maxi,Embroidered,Sage,Wedding Dress
"Elegant Mermaid Chiffon Wedding Dress with Square Neckline, Puff Sleeves, Mini design, Corset detailing in Sage.",Mermaid,Chiffon,Square Neckline,Puff Sleeves,Mini,Corset,Sage,Wedding Dress
"Premium Tulle Wedding Dress with Boat Neck, Sleeveless, Mini cut, None details and elegant Blush finish in A-line style.",A-line,Tulle,Boat Neck,Sleeveless,Mini,None,Blush,Wedding Dress
"Stylish Empire dress crafted from Chiffon featuring One Shoulder, Strapless, Sequins accents and Emerald color for a Bridesmaid Dress.",Empire,Chiffon,One Shoulder,Strapless,Floor Length,Sequins,Emerald,Bridesmaid Dress
"Premium Lace Casual Dress with V Neckline, Cap Sleeves, Mini cut, Ruched details and elegant Pink finish in Empire style.",Empire,Lace,V Neckline,Cap Sleeves,Mini,Ruched,Pink,Casual Dress
"Premium Lace Bridesmaid Dress with V Neckline, Short Sleeves, Maxi cut, Layered details and elegant Gold finish in Fit and Flare style.",Fit and Flare,Lace,V Neckline,Short Sleeves,Maxi,Layered,Gold,Bridesmaid Dress
"Premium Tulle Evening Gown with Square Neckline, Long Sleeves, Maxi cut, Feathers details and elegant Green finish in Ball Gown style.",Ball Gown,Tulle,Square Neckline,Long Sleeves,Maxi,Feathers,Green,Evening Gown
"Mini Tulle Wedding Dress with Round Neckline, Long Sleeves, None bodice and Burgundy shade in a A-line silhouette.",A-line,Tulle,Round Neckline,Long Sleeves,Mini,None,Burgundy,Wedding Dress
"Stylish Mermaid dress crafted from Lace featuring Square Neckline, Sleeveless, Beaded accents and Emerald color for a Evening Gown.",Mermaid,Lace,Square Neckline,Sleeveless,Floor Length,Beaded,Emerald,Evening Gown
"Premium Satin Cocktail Dress with Boat Neck, Puff Sleeves, Maxi cut, Ruched details and elegant Dusty Blue finish in Ball Gown style.",Ball Gown,Satin,Boat Neck,Puff Sleeves,Maxi,Ruched,Dusty Blue,Cocktail Dress
"Midi Jersey Cocktail Dress with Square Neckline, Sleeveless, Corset bodice and Red shade in a A-line silhouette.",A-line,Jersey,Square Neckline,Sleeveless,Midi,Corset,Red,Cocktail Dress
"Elegant Sheath Cotton Formal Dress with Off Shoulder, Short Sleeves, Knee Length design, Embroidered detailing in Navy Blue.",Sheath,Cotton,Off Shoulder,Short Sleeves,Knee Length,Embroidered,Navy Blue,Formal Dress
"Silver Chiffon Empire dress featuring Square Neckline, Strapless, and Beaded finish. Perfect as a Wedding Dress.",Empire,Chiffon,Square Neckline,Strapless,Floor Length,Beaded,Silver,Wedding Dress
"Blush Lace Ball Gown dress featuring Sweetheart, Three Quarter Sleeves, and Pleated finish. Perfect as a Evening Gown.",Ball Gown,Lace,Sweetheart,Three Quarter Sleeves,Maxi,Pleated,Blush,Evening Gown
"Stylish Sheath dress crafted from Velvet featuring One Shoulder, Short Sleeves, Sequins accents and Navy Blue color for a Formal Dress.",Sheath,Velvet,One Shoulder,Short Sleeves,Floor Length,Sequins,Navy Blue,Formal Dress
"Stylish Ball Gown dress crafted from Tulle featuring One Shoulder, Cap Sleeves, Feathers accents and Gold color for a Bridesmaid Dress.",Ball Gown,Tulle,One Shoulder,Cap Sleeves,Midi,Feathers,Gold,Bridesmaid Dress
"Midi Cotton Wedding Dress with Sweetheart, Strapless, Pleated bodice and Burgundy shade in a Ball Gown silhouette.",Ball Gown,Cotton,Sweetheart,Strapless,Midi,Pleated,Burgundy,Wedding Dress
"Premium Satin Wedding Dress with Round Neckline, Long Sleeves, Mini cut, Beaded details and elegant Navy Blue finish in Empire style.",Empire,Satin,Round Neckline,Long Sleeves,Mini,Beaded,Navy Blue,Wedding Dress
"Elegant Ball Gown Jersey Wedding Dress with Round Neckline, Short Sleeves, Maxi design, Ruched detailing in Black.",Ball Gown,Jersey,Round Neckline,Short Sleeves,Maxi,Ruched,Black,Wedding Dress
"Mini Tulle Casual Dress with Off Shoulder, Cap Sleeves, Ruched bodice and Royal Navy shade in a Sheath silhouette.",Sheath,Tulle,Off Shoulder,Cap Sleeves,Mini,Ruched,Royal Navy,Casual Dress
"Dusty Blue Tulle A-line dress featuring Sweetheart, Short Sleeves, and Corset finish. Perfect as a Wedding Dress.",A-line,Tulle,Sweetheart,Short Sleeves,Mini,Corset,Dusty Blue,Wedding Dress
"Black Crepe Fit and Flare dress featuring One Shoulder, Puff Sleeves, and Embroidered finish. Perfect as a Evening Gown.",Fit and Flare,Crepe,One Shoulder,Puff Sleeves,Mini,Embroidered,Black,Evening Gown
"Elegant Ball Gown Jersey Casual Dress with Round Neckline, Strapless, Midi design, Sequins detailing in Navy Blue.",Ball Gown,Jersey,Round Neckline,Strapless,Midi,Sequins,Navy Blue,Casual Dress
"Elegant Ball Gown Jersey Bridesmaid Dress with One Shoulder, Sleeveless, Mini design, Layered detailing in Silver.",Ball Gown,Jersey,One Shoulder,Sleeveless,Mini,Layered,Silver,Bridesmaid Dress
"Silver Cotton Fit and Flare dress featuring Sweetheart, Long Sleeves, and Pleated finish. Perfect as a Evening Gown.",Fit and Flare,Cotton,Sweetheart,Long Sleeves,Maxi,Pleated,Silver,Evening Gown
"Premium Jersey Casual Dress with Sweetheart, Three Quarter Sleeves, Mini cut, None details and elegant Emerald finish in Empire style.",Empire,Jersey,Sweetheart,Three Quarter Sleeves,Mini,None,Emerald,Casual Dress
"Maxi Chiffon Wedding Dress with Halter, Strapless, Pleated bodice and Burgundy shade in a Empire silhouette.",Empire,Chiffon,Halter,Strapless,Maxi,Pleated,Burgundy,Wedding Dress
"Elegant Mermaid Chiffon Prom Gown with Square Neckline, Strapless, Mini design, Ruched detailing in Royal Navy.",Mermaid,Chiffon,Square Neckline,Strapless,Mini,Ruched,Royal Navy,Prom Gown
"Emerald Tulle Empire dress featuring Sweetheart, Sleeveless, and None finish. Perfect as a Formal Dress.",Empire,Tulle,Sweetheart,Sleeveless,Midi,None,Emerald,Formal Dress
"Stylish Fit and Flare dress crafted from Crepe featuring One Shoulder, Three Quarter Sleeves, Beaded accents and White color for a Prom Gown.",Fit and Flare,Crepe,One Shoulder,Three Quarter Sleeves,Knee Length,Beaded,White,Prom Gown
"Premium Velvet Evening Gown with Off Shoulder, Sleeveless, Knee Length cut, Pleated details and elegant Emerald finish in A-line style.",A-line,Velvet,Off Shoulder,Sleeveless,Knee Length,Pleated,Emerald,Evening Gown
"Elegant Sheath Crepe Formal Dress with Boat Neck, Sleeveless, Knee Length design, Corset detailing in Emerald.",Sheath,Crepe,Boat Neck,Sleeveless,Knee Length,Corset,Emerald,Formal Dress
"Stylish Fit and Flare dress crafted from Tulle featuring Boat Neck, Sleeveless, Feathers accents and Blush color for a Prom Gown.",Fit and Flare,Tulle,Boat Neck,Sleeveless,Midi,Feathers,Blush,Prom Gown
"Maxi Tulle Bridesmaid Dress with Sweetheart, Cap Sleeves, Ruched bodice and Green shade in a Sheath silhouette.",Sheath,Tulle,Sweetheart,Cap Sleeves,Maxi,Ruched,Green,Bridesmaid Dress
"Floor Length Jersey Evening Gown with Round Neckline, Cap Sleeves, Beaded bodice and Gold shade in a A-line silhouette.",A-line,Jersey,Round Neckline,Cap Sleeves,Floor Length,Beaded,Gold,Evening Gown
"Stylish A-line dress crafted from Satin featuring Square Neckline, Three Quarter Sleeves, Corset accents and Sage color for a Bridesmaid Dress.",A-line,Satin,Square Neckline,Three Quarter Sleeves,Midi,Corset,Sage,Bridesmaid Dress
"Mini Crepe Wedding Dress with Square Neckline, Cap Sleeves, Ruched bodice and Silver shade in a Ball Gown silhouette.",Ball Gown,Crepe,Square Neckline,Cap Sleeves,Mini,Ruched,Silver,Wedding Dress
"Gold Chiffon Fit and Flare dress featuring Round Neckline, Three Quarter Sleeves, and Ruched finish. Perfect as a Formal Dress.",Fit and Flare,Chiffon,Round Neckline,Three Quarter Sleeves,Maxi,Ruched,Gold,Formal Dress
"Knee Length Lace Formal Dress with One Shoulder, Sleeveless, Embroidered bodice and Royal Navy shade in a A-line silhouette.",A-line,Lace,One Shoulder,Sleeveless,Knee Length,Embroidered,Royal Navy,Formal Dress
"Stylish Mermaid dress crafted from Jersey featuring V Neckline, Puff Sleeves, Layered accents and Emerald color for a Evening Gown.",Mermaid,Jersey,V Neckline,Puff Sleeves,Knee Length,Layered,Emerald,Evening Gown
"Elegant A-line Lace Casual Dress with Square Neckline, Cap Sleeves, Midi design, Corset detailing in Royal Navy.",A-line,Lace,Square Neckline,Cap Sleeves,Midi,Corset,Royal Navy,Casual Dress
"Maxi Lace Evening Gown with One Shoulder, Puff Sleeves, None bodice and White shade in a Fit and Flare silhouette.",Fit and Flare,Lace,One Shoulder,Puff Sleeves,Maxi,None,White,Evening Gown
"Royal Navy Crepe Fit and Flare dress featuring Off Shoulder, Puff Sleeves, and Layered finish. Perfect as a Casual Dress.",Fit and Flare,Crepe,Off Shoulder,Puff Sleeves,Midi,Layered,Royal Navy,Casual Dress
"Maxi Crepe Prom Gown with Sweetheart, Three Quarter Sleeves, Embroidered bodice and Green shade in a A-line silhouette.",A-line,Crepe,Sweetheart,Three Quarter Sleeves,Maxi,Embroidered,Green,Prom Gown
"Navy Blue Tulle Fit and Flare dress featuring Round Neckline, Puff Sleeves, and Corset finish. Perfect as a Formal Dress.",Fit and Flare,Tulle,Round Neckline,Puff Sleeves,Floor Length,Corset,Navy Blue,Formal Dress
"Royal Navy Lace Fit and Flare dress featuring Square Neckline, Puff Sleeves, and Embroidered finish. Perfect as a Formal Dress.",Fit and Flare,Lace,Square Neckline,Puff Sleeves,Knee Length,Embroidered,Royal Navy,Formal Dress
"Premium Crepe Formal Dress with V Neckline, Long Sleeves, Floor Length cut, Ruched details and elegant Sage finish in Ball Gown style.",Ball Gown,Crepe,V Neckline,Long Sleeves,Floor Length,Ruched,Sage,Formal Dress
"Stylish Ball Gown dress crafted from Satin featuring Round Neckline, Long Sleeves, Layered accents and Gold color for a Wedding Dress.",Ball Gown,Satin,Round Neckline,Long Sleeves,Maxi,Layered,Gold,Wedding Dress
"Premium Satin Prom Gown with Sweetheart, Long Sleeves, Mini cut, Layered details and elegant Sage finish in Empire style.",Empire,Satin,Sweetheart,Long Sleeves,Mini,Layered,Sage,Prom Gown
"Elegant Mermaid Lace Formal Dress with Sweetheart, Strapless, Knee Length design, Feathers detailing in Gold.",Mermaid,Lace,Sweetheart,Strapless,Knee Length,Feathers,Gold,Formal Dress
"Knee Length Lace Cocktail Dress with Boat Neck, Short Sleeves, Ruched bodice and Pink shade in a A-line silhouette.",A-line,Lace,Boat Neck,Short Sleeves,Knee Length,Ruched,Pink,Cocktail Dress
"Knee Length Velvet Cocktail Dress with Round Neckline, Long Sleeves, None bodice and Navy Blue shade in a Empire silhouette.",Empire,Velvet,Round Neckline,Long Sleeves,Knee Length,None,Navy Blue,Cocktail Dress
"Premium Satin Prom Gown with Sweetheart, Puff Sleeves, Floor Length cut, Beaded details and elegant Red finish in Empire style.",Empire,Satin,Sweetheart,Puff Sleeves,Floor Length,Beaded,Red,Prom Gown
"Premium Tulle Prom Gown with V Neckline, Strapless, Mini cut, Embroidered details and elegant Black finish in Fit and Flare style.",Fit and Flare,Tulle,V Neckline,Strapless,Mini,Embroidered,Black,Prom Gown
"Mini Cotton Bridesmaid Dress with Halter, Puff Sleeves, Layered bodice and Burgundy shade in a Mermaid silhouette.",Mermaid,Cotton,Halter,Puff Sleeves,Mini,Layered,Burgundy,Bridesmaid Dress
"Elegant Fit and Flare Velvet Casual Dress with One Shoulder, Short Sleeves, Maxi design, Corset detailing in Sage.",Fit and Flare,Velvet,One Shoulder,Short Sleeves,Maxi,Corset,Sage,Casual Dress
"Emerald Crepe Ball Gown dress featuring Halter, Cap Sleeves, and Sequins finish. Perfect as a Bridesmaid Dress.",Ball Gown,Crepe,Halter,Cap Sleeves,Maxi,Sequins,Emerald,Bridesmaid Dress
"Elegant Mermaid Tulle Bridesmaid Dress with Square Neckline, Cap Sleeves, Knee Length design, Ruched detailing in Gold.",Mermaid,Tulle,Square Neckline,Cap Sleeves,Knee Length,Ruched,Gold,Bridesmaid Dress
"Elegant Mermaid Cotton Cocktail Dress with One Shoulder, Sleeveless, Midi design, Layered detailing in Royal Navy.",Mermaid,Cotton,One Shoulder,Sleeveless,Midi,Layered,Royal Navy,Cocktail Dress
"Royal Navy Velvet A-line dress featuring Halter, Strapless, and Feathers finish. Perfect as a Formal Dress.",A-line,Velvet,Halter,Strapless,Floor Length,Feathers,Royal Navy,Formal Dress
"Stylish Mermaid dress crafted from Tulle featuring Off Shoulder, Strapless, Layered accents and Gold color for a Wedding Dress.",Mermaid,Tulle,Off Shoulder,Strapless,Knee Length,Layered,Gold,Wedding Dress
"Sage Crepe Mermaid dress featuring V Neckline, Sleeveless, and None finish. Perfect as a Cocktail Dress.",Mermaid,Crepe,V Neckline,Sleeveless,Maxi,None,Sage,Cocktail Dress
"Stylish Empire dress crafted from Tulle featuring V Neckline, Sleeveless, Layered accents and Silver color for a Formal Dress.",Empire,Tulle,V Neckline,Sleeveless,Midi,Layered,Silver,Formal Dress
"Stylish Mermaid dress crafted from Chiffon featuring Round Neckline, Cap Sleeves, Corset accents and Pink color for a Evening Gown.",Mermaid,Chiffon,Round Neckline,Cap Sleeves,Knee Length,Corset,Pink,Evening Gown
"Premium Chiffon Evening Gown with Halter, Sleeveless, Floor Length cut, None details and elegant Royal Navy finish in Mermaid style.",Mermaid,Chiffon,Halter,Sleeveless,Floor Length,None,Royal Navy,Evening Gown
"Premium Satin Formal Dress with Halter, Puff Sleeves, Maxi cut, None details and elegant Navy Blue finish in Mermaid style.",Mermaid,Satin,Halter,Puff Sleeves,Maxi,None,Navy Blue,Formal Dress
"Premium Satin Evening Gown with Sweetheart, Sleeveless, Maxi cut, Ruched details and elegant Green finish in Fit and Flare style.",Fit and Flare,Satin,Sweetheart,Sleeveless,Maxi,Ruched,Green,Evening Gown
"Elegant Mermaid Lace Casual Dress with Off Shoulder, Puff Sleeves, Floor Length design, Feathers detailing in Gold.",Mermaid,Lace,Off Shoulder,Puff Sleeves,Floor Length,Feathers,Gold,Casual Dress
"Premium Lace Cocktail Dress with Square Neckline, Strapless, Maxi cut, None details and elegant Sage finish in A-line style.",A-line,Lace,Square Neckline,Strapless,Maxi,None,Sage,Cocktail Dress
"Midi Lace Bridesmaid Dress with Square Neckline, Puff Sleeves, Beaded bodice and Blush shade in a Empire silhouette.",Empire,Lace,Square Neckline,Puff Sleeves,Midi,Beaded,Blush,Bridesmaid Dress
"Elegant Empire Tulle Formal Dress with One Shoulder, Three Quarter Sleeves, Floor Length design, Corset detailing in Sage.",Empire,Tulle,One Shoulder,Three Quarter Sleeves,Floor Length,Corset,Sage,Formal Dress
"Elegant Mermaid Tulle Prom Gown with Round Neckline, Cap Sleeves, Floor Length design, Corset detailing in Green.",Mermaid,Tulle,Round Neckline,Cap Sleeves,Floor Length,Corset,Green,Prom Gown
"Premium Crepe Casual Dress with Boat Neck, Three Quarter Sleeves, Floor Length cut, Sequins details and elegant Pink finish in Empire style.",Empire,Crepe,Boat Neck,Three Quarter Sleeves,Floor Length,Sequins,Pink,Casual Dress
"Elegant Sheath Lace Prom Gown with Halter, Short Sleeves, Knee Length design, Pleated detailing in Silver.",Sheath,Lace,Halter,Short Sleeves,Knee Length,Pleated,Silver,Prom Gown
"Blush Chiffon Ball Gown dress featuring One Shoulder, Long Sleeves, and Beaded finish. Perfect as a Prom Gown.",Ball Gown,Chiffon,One Shoulder,Long Sleeves,Maxi,Beaded,Blush,Prom Gown
"Knee Length Crepe Bridesmaid Dress with V Neckline, Three Quarter Sleeves, None bodice and Royal Navy shade in a Sheath silhouette.",Sheath,Crepe,V Neckline,Three Quarter Sleeves,Knee Length,None,Royal Navy,Bridesmaid Dress
"Premium Crepe Evening Gown with Halter, Long Sleeves, Knee Length cut, Layered details and elegant Gold finish in Fit and Flare style.",Fit and Flare,Crepe,Halter,Long Sleeves,Knee Length,Layered,Gold,Evening Gown
"Gold Velvet Mermaid dress featuring One Shoulder, Short Sleeves, and Corset finish. Perfect as a Evening Gown.",Mermaid,Velvet,One Shoulder,Short Sleeves,Knee Length,Corset,Gold,Evening Gown
"Premium Velvet Evening Gown with Off Shoulder, Three Quarter Sleeves, Maxi cut, Ruched details and elegant Sage finish in Mermaid style.",Mermaid,Velvet,Off Shoulder,Three Quarter Sleeves,Maxi,Ruched,Sage,Evening Gown
"Floor Length Velvet Wedding Dress with Boat Neck, Sleeveless, None bodice and Blush shade in a Fit and Flare silhouette.",Fit and Flare,Velvet,Boat Neck,Sleeveless,Floor Length,None,Blush,Wedding Dress
"Mini Velvet Prom Gown with V Neckline, Long Sleeves, Ruched bodice and Sage shade in a Ball Gown silhouette.",Ball Gown,Velvet,V Neckline,Long Sleeves,Mini,Ruched,Sage,Prom Gown
"Floor Length Crepe Prom Gown with Off Shoulder, Short Sleeves, Corset bodice and Gold shade in a Fit and Flare silhouette.",Fit and Flare,Crepe,Off Shoulder,Short Sleeves,Floor Length,Corset,Gold,Prom Gown
"Royal Navy Satin Ball Gown dress featuring Off Shoulder, Short Sleeves, and None finish. Perfect as a Prom Gown.",Ball Gown,Satin,Off Shoulder,Short Sleeves,Mini,None,Royal Navy,Prom Gown
"Burgundy Satin A-line dress featuring Halter, Long Sleeves, and Embroidered finish. Perfect as a Formal Dress.",A-line,Satin,Halter,Long Sleeves,Maxi,Embroidered,Burgundy,Formal Dress
"Maxi Lace Cocktail Dress with Halter, Three Quarter Sleeves, Layered bodice and Burgundy shade in a A-line silhouette.",A-line,Lace,Halter,Three Quarter Sleeves,Maxi,Layered,Burgundy,Cocktail Dress
"Elegant Mermaid Velvet Prom Gown with V Neckline, Strapless, Mini design, Sequins detailing in Gold.",Mermaid,Velvet,V Neckline,Strapless,Mini,Sequins,Gold,Prom Gown
